x,y,z,vx,vy,vz,subjective_time,excitation_counter,current_groundstate
0.0008129386931436513,-0.027,0.005592071244516805,0.18493662093757102,86.16377803038978,-0.3792284694435782,0.0,0.0,0.0
0.006191085962744274,-0.027,-0.0008167259527416054,1.823118815919497,55.034232248971875,-1.7672715866993687,0.0,0.0,0.0
-0.0011681859609145753,-0.027,-0.0025943741609304877,1.6381522422537804,75.5283990905483,0.8853422103959118,0.0,0.0,0.0
0.005427501617550994,-0.027,-0.0024083315401482045,7.208694238951853,69.46341125646487,-2.4251822467978785,0.0,0.0,0.0
-0.00019897673201099133,-0.027,0.0023827431958085643,2.299447830159649,91.55543442517617,4.886138374630734,0.0,0.0,0.0
-0.004456940748546075,-0.027,-0.0024944909790749034,-6.943237052112641,79.43243394750739,-2.778617193423603,0.0,0.0,0.0
-0.0020840066341588775,-0.027,0.0019555835233944024,-3.524389071801423,85.68131096707948,5.685405146982178,0.0,0.0,0.0
-0.0033478220695037633,-0.027,-0.001479643674729525,-6.725489552604004,88.63789731444882,-6.411805063361666,0.0,0.0,0.0
0.0008965779984450467,-0.027,-0.0006982849167594852,0.36362599595598444,75.11637851422313,0.008733236013118562,0.0,0.0,0.0
0.005350803624235206,-0.027,0.002338523155086467,5.292693502062026,55.69325678379297,-2.2579493405752324,0.0,0.0,0.0
-0.0028436229313250285,-0.027,-0.003354260247864828,-4.402959387720728,55.50811917532527,-5.038272190249401,0.0,0.0,0.0
-0.0003482469435718604,-0.027,0.0034483090144340595,0.3617908772055054,90.62353899978552,2.2186817503335665,0.0,0.0,0.0
-0.004974041672793021,-0.027,-0.003446523097196976,-7.9421547262502035,80.91276088159111,-8.303920083385632,0.0,0.0,0.0
-0.005273109349798716,-0.027,0.0021685217144461464,-4.11551181341025,84.84612833774541,-3.4994657260758517,0.0,0.0,0.0
0.0035840944552418316,-0.027,-0.003417670133226906,3.9535353157546016,69.83962212444011,2.081220145225328,0.0,0.0,0.0
0.0033015053678928964,-0.027,0.00531176993243462,5.187478662288779,52.533814835957735,4.660170823781109,0.0,0.0,0.0
-0.0036611962151092948,-0.027,-0.0011780535678933193,-6.783732462772329,81.46358876976495,2.4113901016110337,0.0,0.0,0.0
-0.0013072441779904925,-0.027,-0.0051893035366033366,-2.6197484113790943,79.12442994522031,-8.887477365616668,0.0,0.0,0.0
-0.0014601003454441132,-0.027,0.0055767439228762965,-4.738754339863009,60.6876345877666,5.899274499336448,0.0,0.0,0.0
-0.005090721518825461,-0.027,-0.0025185335886828584,-8.273651665725726,89.03948509634061,1.6375309450971112,0.0,0.0,0.0
-0.0005205839654953421,-0.027,0.0024848156326173765,0.0538092442968478,36.26142688706654,2.940855511931918,0.0,0.0,0.0
0.0031582250562037935,-0.027,-0.003186827232941728,-2.3545692970164183,66.47279829352962,-3.6463341567045364,0.0,0.0,0.0
0.002830367137589229,-0.027,-0.004735276190071846,0.4270442209504066,54.29269744634151,-0.8333087568193533,0.0,0.0,0.0
-0.004411264998075426,-0.027,0.0003303810110053516,-4.8403330733134124,66.29861608311285,-1.1673842192433668,0.0,0.0,0.0
-0.0023316414837602803,-0.027,0.0054604321714263404,-2.687992644519776,90.42792866884838,12.347356932064871,0.0,0.0,0.0
-0.0025361430166249786,-0.027,0.004534125435744473,2.178491424008793,69.09902157725246,1.9144140581277966,0.0,0.0,0.0
0.0003973231864917203,-0.027,-0.0035336701928743173,3.3004593291575057,88.16323809407011,0.49813952366709985,0.0,0.0,0.0
0.0005132833930362561,-0.027,0.002670356113225932,-1.166536708318908,80.2637636855848,5.844282185297181,0.0,0.0,0.0
-0.0014419719988849771,-0.027,0.005104981709055584,-0.5754254525182226,73.39968581869951,-0.7499179959904727,0.0,0.0,0.0
-0.0022865859118603045,-0.027,-0.0003860994484833023,-1.6749063508908233,78.67911203630902,-0.7237101503490984,0.0,0.0,0.0
0.004871691042048059,-0.027,0.0016299845899843948,3.4256298257822357,66.58987776661859,4.624058538432172,0.0,0.0,0.0
0.0005768557256780457,-0.027,0.00422267349313175,0.25871411196833866,36.18526090283137,3.813493848153297,0.0,0.0,0.0
0.0014019909848723639,-0.027,0.003251021962050296,0.5125275930831259,88.61435514668196,0.334642545493277,0.0,0.0,0.0
-0.0019821829274134744,-0.027,0.00373395855351472,-2.3629174750724045,90.59105837255898,10.499177450765659,0.0,0.0,0.0
-0.004742889657341547,-0.027,-0.00018865239876148117,-5.384441205295895,88.74795681965354,0.8156177898615418,0.0,0.0,0.0
-0.0025292544833806314,-0.027,-0.00014084631701886691,-1.9839811274708932,40.99475168141181,-1.939660098032378,0.0,0.0,0.0
0.0013689182477018337,-0.027,-0.004581534766498252,-3.661264290175529,88.22144300346652,-1.142301962121872,0.0,0.0,0.0
-0.0015896947724137597,-0.027,0.003154904565519509,-3.4009376819460657,43.174718759555745,1.1048170317465542,0.0,0.0,0.0
-0.002416164456690629,-0.027,-0.0014918196371464568,-8.347126286215794,90.47966552378269,1.5060748069480998,0.0,0.0,0.0
-0.003602724684200429,-0.027,-0.0009932860926758621,-3.188017772490546,71.40502986700055,-6.21309604479389,0.0,0.0,0.0
-0.004643727976590326,-0.027,0.0012624374316937926,-6.237265006216792,85.19340678589954,-2.5530655209510935,0.0,0.0,0.0
0.0062098656804628095,-0.027,-0.000844097158570659,4.999843892862021,55.08720353743285,-2.8703786470204524,0.0,0.0,0.0
0.00294044978479159,-0.027,-0.0002560482302368567,5.41966248532066,89.88869700559293,-0.07697342905733359,0.0,0.0,0.0
0.0009710003453156134,-0.027,-0.004665821937275718,7.426510207852774,88.20686452470588,-4.3540024589309,0.0,0.0,0.0
0.0032567112210346925,-0.027,-0.001044464028100758,7.033677810335558,83.0170566464285,-5.233993501538112,0.0,0.0,0.0
-0.002088414519080583,-0.027,0.0025350564269291183,-1.1928441655632853,43.599836336057194,-1.3041655365539293,0.0,0.0,0.0
-0.0024169573276756947,-0.027,0.005685248747861849,-5.12891052100171,57.958056158199156,3.6344817874867763,0.0,0.0,0.0
0.00178728722908239,-0.027,0.0038179605664291297,-2.068451056311884,49.84658496780273,1.2733974421948095,0.0,0.0,0.0
